;Subblock;S;M;T;C;Z;X[micron];Y[micron];Z[micron];Time[s];xstart;ystart;width;height
0;0;0;0;0;0;0;4261.284;8361.406;683.0;0.0;0;0;1960;1416
1;1;1;0;0;0;0;13293.666;8372.441;683.934;2.376;19758;24;1960;1416
